Name,MKT CAP,ENTERPRISE VALUE,Area,Type,Announced,Date,Q,V,M,SR,QV,QM,VM,F Score,Bankruptcy,Analyst Target Price,Spread,DayBefore,OnDay,All Share,Return,Return v's All Share,Category,Debt Category,Debt,Style,,,,
DFCH,£69.06,£305.45,Financials,Final Result,Yes,19/04/2023,26,54,66,45,40,46,60,5,,,,37,37,-0.23%,0.00%,0.23%,C <100m,A >100%,340%,Financials,,,,
WINK,£21.96,£17.25,Financials,Final Result,Yes,19/04/2023,99,59,83,95,79,91,71,6,,,,179.3,177,-0.23%,-1.28%,-1.05%,B <50m,F >-60%,-20%,Financials,,,,
DNM,£28.83,£18.38,Consumer Cyclicals,Final Result,Yes,20/04/2023,81,70,9,52,76,45,40,6,9.85,,,83.6,94,-0.13%,12.44%,12.57%,B <50m,F >-60%,-40%,Large Cap,,,,
HOC,£444.50,£638.08,Basic Materials,Final Result,Yes,20/04/2023,77,77,83,94,77,80,80,5,3.8,,,90.65,79.15,-0.13%,-12.69%,-12.56%,E <500m,C >20%,40%,Large Cap,,,,
IUG,£34.16,£27.48,Industrials,Final Result,Yes,20/04/2023,56,13,43,28,35,50,28,6,3.71,,,11,10.37,-0.13%,-5.73%,-5.60%,B <50m,F >-60%,-20%,Large Cap,,,,
AGL,£65.80,£50.54,Healthcare,Final Result,Yes,21/04/2023,6,6,23,3,6,15,15,2,-0.79,,,20.5,25.25,0.21%,23.17%,22.96%,C <100m,F >-60%,-20%,Large Cap,,,,
AVCT,£363.74,£351.55,Healthcare,Final Result,Yes,25/04/2023,25,2,65,20,14,45,34,4,36.24,,,130.7,127,-0.26%,-2.83%,-2.57%,E <500m,E >-20%,0%,Large Cap,,,,
CNS,£33.75,£29.19,Technology,Final Result,Yes,25/04/2023,68,34,14,30,51,41,24,8,-3.96,,,7,7,-0.26%,0.00%,0.26%,B <50m,E >-20%,-10%,Large Cap,,,,
CODE,£23.71,£24.08,Technology,Final Result,Yes,25/04/2023,12,4,43,9,8,28,24,3,14.07,,,287.67,321.6,-0.26%,11.79%,12.05%,B <50m,E >-20%,0%,Large Cap,,,,
DSG,£3.64,£5.23,Technology,Final Result,Yes,25/04/2023,31,48,52,38,40,42,50,5,-0.49,,,17.15,18.5,-0.26%,7.87%,8.13%,A <10m,C >20%,40%,Large Cap,,,,
HVO,£124.72,£111.05,Healthcare,Final Result,Yes,25/04/2023,30,11,89,37,21,60,50,3,6.96,,,17.9,16.83,-0.26%,-5.98%,-5.72%,D <250m,E >-20%,-10%,Large Cap,,,,
JSE,£285.72,£285.72,Energy,Final Result,Yes,25/04/2023,73,70,31,61,72,52,51,8,3.45,,,62.7,58.9,-0.26%,-6.06%,-5.80%,E <500m,E >-20%,0%,Large Cap,,,,
NFG,£692.48,£760.43,Consumer Cyclicals,Final Result,Yes,25/04/2023,59,39,40,40,49,50,40,5,1.54,,,700,768.12,-0.26%,9.73%,9.99%,F <1000m,D >0%,10%,Large Cap,,,,
WTB,"£6,320.00","£9,880.00",Consumer Cyclicals,Final Result,Yes,25/04/2023,45,29,99,60,37,72,64,6,2.95,,,"3,122.00","3,273.00",-0.26%,4.84%,5.10%,H >2000m,C >20%,60%,Large Cap,,,,
BIOM,£4.32,£4.05,Basic Materials,Final Result,Yes,26/04/2023,74,35,11,32,55,43,23,6,1.85,,,139.9,137.45,-0.48%,-1.75%,-1.27%,A <10m,E >-20%,-10%,Large Cap,,,,
LTG,"£1,020.00","£1,190.00",Industrials,Final Result,Yes,26/04/2023,53,16,94,55,35,74,55,5,3.08,,,129.69,108.68,-0.48%,-16.20%,-15.72%,G <2000m,D >0%,20%,Large Cap,,,,
PEN,£14.16,£18.96,Technology,Final Result,Yes,26/04/2023,28,50,94,59,39,61,72,5,0.47,,,38.5,38.44,-0.48%,-0.16%,0.32%,B <50m,C >20%,30%,Large Cap,,,,
